INFO 2025-12-06 13:13:03,561 autoreload 667 Watching for file changes with StatReloader
INFO 2025-12-06 13:17:03,733 autoreload 667 Watching for file changes with StatReloader
INFO 2025-12-06 13:21:06,038 autoreload 667 Watching for file changes with StatReloader
INFO 2025-12-06 13:21:57,579 autoreload 265 D:\data\xianYu\test_django\api_django\backend\backend\__init__.py changed, reloading.
INFO 2025-12-06 13:21:58,482 autoreload 667 Watching for file changes with StatReloader
INFO 2025-12-06 13:22:04,141 autoreload 667 Watching for file changes with StatReloader
INFO 2025-12-06 13:25:43,666 autoreload 667 Watching for file changes with StatReloader
INFO 2025-12-06 13:28:20,703 basehttp 213 "OPTIONS /register/ HTTP/1.1" 200 0
WARNING 2025-12-06 13:28:20,719 log 253 Bad Request: /register/
WARNING 2025-12-06 13:28:20,719 basehttp 213 "POST /register/ HTTP/1.1" 400 38
INFO 2025-12-06 13:28:31,675 basehttp 213 "POST /register/ HTTP/1.1" 200 204
INFO 2025-12-06 13:28:37,860 basehttp 213 "OPTIONS /login/ HTTP/1.1" 200 0
WARNING 2025-12-06 13:28:38,371 log 253 Bad Request: /login/
WARNING 2025-12-06 13:28:38,372 basehttp 213 "POST /login/ HTTP/1.1" 400 60
WARNING 2025-12-06 13:28:44,941 log 253 Bad Request: /login/
WARNING 2025-12-06 13:28:44,942 basehttp 213 "POST /login/ HTTP/1.1" 400 60
WARNING 2025-12-06 13:28:46,761 log 253 Bad Request: /login/
WARNING 2025-12-06 13:28:46,761 basehttp 213 "POST /login/ HTTP/1.1" 400 57
WARNING 2025-12-06 13:29:17,040 log 253 Bad Request: /login/
WARNING 2025-12-06 13:29:17,041 basehttp 213 "POST /login/ HTTP/1.1" 400 60
WARNING 2025-12-06 13:29:25,633 log 253 Bad Request: /login/
WARNING 2025-12-06 13:29:25,635 basehttp 213 "POST /login/ HTTP/1.1" 400 57
WARNING 2025-12-06 13:29:26,978 log 253 Bad Request: /login/
WARNING 2025-12-06 13:29:26,980 basehttp 213 "POST /login/ HTTP/1.1" 400 57
INFO 2025-12-06 13:31:30,912 basehttp 213 "POST /login/ HTTP/1.1" 200 745
INFO 2025-12-06 13:31:31,779 basehttp 213 "OPTIONS /project/?page=1&size=10 HTTP/1.1" 200 0
INFO 2025-12-06 13:31:31,907 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 13:31:51,009 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 13:31:53,316 basehttp 213 "OPTIONS /project/1/ HTTP/1.1" 200 0
INFO 2025-12-06 13:31:53,385 basehttp 213 "GET /project/1/ HTTP/1.1" 200 483
INFO 2025-12-06 13:32:00,437 basehttp 213 "OPTIONS /environment/[object%20Object]/ HTTP/1.1" 200 0
WARNING 2025-12-06 13:32:00,466 log 253 Not Found: /environment/[object Object]/
WARNING 2025-12-06 13:32:00,468 basehttp 213 "GET /environment/[object%20Object]/ HTTP/1.1" 404 25
INFO 2025-12-06 13:32:02,521 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 13:32:11,525 basehttp 213 "GET /admin HTTP/1.1" 301 0
INFO 2025-12-06 13:32:11,965 basehttp 213 "GET /admin/ HTTP/1.1" 200 20860
INFO 2025-12-06 13:32:12,406 basehttp 213 "GET /static/admin/simpleui-x/theme/admin.lte.css HTTP/1.1" 200 4374
INFO 2025-12-06 13:32:12,406 basehttp 213 "GET /static/admin/simpleui-x/css/index.css?_=3.2 HTTP/1.1" 200 6994
INFO 2025-12-06 13:32:12,410 basehttp 213 "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/css/all.min.css HTTP/1.1" 200 101784
INFO 2025-12-06 13:32:12,415 basehttp 213 "GET /static/media/favicon.ico HTTP/1.1" 200 289422
INFO 2025-12-06 13:32:12,417 basehttp 213 "GET /static/admin/simpleui-x/elementui/theme-chalk/index.css HTTP/1.1" 200 238628
INFO 2025-12-06 13:32:12,419 basehttp 213 "GET /static/admin/simpleui-x/waves/waves.min.css?_=2.1 HTTP/1.1" 200 3861
INFO 2025-12-06 13:32:12,428 basehttp 213 "GET /static/admin/simpleui-x/elementui/umd/locale/en.js?_=2025.06.24 HTTP/1.1" 200 3516
INFO 2025-12-06 13:32:12,431 basehttp 213 "GET /static/admin/simpleui-x/automatic/dicts.js?_=2025.06.24 HTTP/1.1" 200 12677
INFO 2025-12-06 13:32:12,431 basehttp 213 "GET /static/admin/simpleui-x/locale/en-us.js?_=2025.06.24 HTTP/1.1" 200 811
INFO 2025-12-06 13:32:12,447 basehttp 213 "GET /static/admin/simpleui-x/automatic/segment.js?_=2025.06.24 HTTP/1.1" 200 1194
INFO 2025-12-06 13:32:12,447 basehttp 213 "GET /static/admin/simpleui-x/locale/zh-hans.js?_=2025.06.24 HTTP/1.1" 200 1254
INFO 2025-12-06 13:32:12,457 basehttp 213 "GET /static/admin/simpleui-x/theme/theme.js?_=2025.06.24 HTTP/1.1" 200 4274
INFO 2025-12-06 13:32:12,464 basehttp 213 "GET /static/admin/simpleui-x/js/cookie.js?_=2025.06.24 HTTP/1.1" 200 524
INFO 2025-12-06 13:32:12,473 basehttp 213 "GET /static/admin/simpleui-x/js/vue.min.js?_=2025.06.24 HTTP/1.1" 200 93675
INFO 2025-12-06 13:32:12,475 basehttp 213 "GET /static/admin/simpleui-x/js/menu.js?_=2025.06.24 HTTP/1.1" 200 1216
INFO 2025-12-06 13:32:12,486 basehttp 213 "GET /static/admin/simpleui-x/waves/waves.min.js?_=2025.06.24 HTTP/1.1" 200 6329
INFO 2025-12-06 13:32:12,487 basehttp 213 "GET /static/admin/simpleui-x/js/index.js?_=2025.06.24 HTTP/1.1" 200 21589
INFO 2025-12-06 13:32:12,684 basehttp 213 "GET /static/admin/simpleui-x/elementui/index.js?_=2025.06.24 HTTP/1.1" 200 586253
INFO 2025-12-06 13:32:12,789 basehttp 213 "GET /static/admin/simpleui-x/elementui/theme-chalk/fonts/element-icons.woff HTTP/1.1" 200 28200
INFO 2025-12-06 13:32:12,792 basehttp 213 "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150472
INFO 2025-12-06 13:32:12,827 basehttp 213 "GET /favicon.ico HTTP/1.1" 302 0
INFO 2025-12-06 13:32:15,849 basehttp 213 "GET /admin/user/user/ HTTP/1.1" 200 36593
INFO 2025-12-06 13:32:15,861 basehttp 213 "GET /static/admin/simpleui-x/locale/en-us.js?_=2.1.2 HTTP/1.1" 200 811
INFO 2025-12-06 13:32:15,862 basehttp 213 "GET /static/admin/simpleui-x/locale/zh-hans.js HTTP/1.1" 200 1254
INFO 2025-12-06 13:32:15,863 basehttp 213 "GET /static/admin/simpleui-x/theme/simpleui.css HTTP/1.1" 200 4270
INFO 2025-12-06 13:32:15,867 basehttp 213 "GET /static/admin/simpleui-x/js/cookie.js HTTP/1.1" 200 524
INFO 2025-12-06 13:32:15,872 basehttp 213 "GET /static/admin/simpleui-x/js/language.js?_=2.1.2 HTTP/1.1" 200 189
INFO 2025-12-06 13:32:15,872 basehttp 213 "GET /static/admin/simpleui-x/css/base.css?_=2.7 HTTP/1.1" 200 4829
INFO 2025-12-06 13:32:15,875 basehttp 213 "GET /static/admin/css/base.css?_=2.7 HTTP/1.1" 200 22092
INFO 2025-12-06 13:32:15,879 basehttp 213 "GET /static/admin/css/responsive.css?_=20180905 HTTP/1.1" 200 17972
INFO 2025-12-06 13:32:15,879 basehttp 213 "GET /static/admin/css/changelists.css?_=20180905 HTTP/1.1" 200 6878
INFO 2025-12-06 13:32:15,890 basehttp 213 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-12-06 13:32:15,896 basehttp 213 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-12-06 13:32:15,900 basehttp 213 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-12-06 13:32:15,908 basehttp 213 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-12-06 13:32:15,919 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:32:15,921 basehttp 213 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9097
INFO 2025-12-06 13:32:15,927 basehttp 213 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-12-06 13:32:15,931 basehttp 213 "GET /static/admin/simpleui-x/automatic/segment.js HTTP/1.1" 200 1194
INFO 2025-12-06 13:32:15,934 basehttp 213 "GET /static/admin/simpleui-x/automatic/dicts.js HTTP/1.1" 200 12677
INFO 2025-12-06 13:32:15,940 basehttp 213 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-12-06 13:32:15,948 basehttp 213 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-12-06 13:32:15,957 basehttp 213 "GET /static/admin/simpleui-x/js/axios.min.js HTTP/1.1" 200 14237
INFO 2025-12-06 13:32:16,036 basehttp 213 "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 87533
INFO 2025-12-06 13:32:16,039 basehttp 213 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-12-06 13:32:16,091 basehttp 213 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-12-06 13:32:22,171 basehttp 213 "GET /admin/user/user/add/ HTTP/1.1" 200 28681
INFO 2025-12-06 13:32:22,200 basehttp 213 "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
INFO 2025-12-06 13:32:22,203 basehttp 213 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-12-06 13:32:22,204 basehttp 213 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-12-06 13:32:22,206 basehttp 213 "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2025-12-06 13:32:22,207 basehttp 213 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-12-06 13:32:22,232 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:32:22,243 basehttp 213 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
INFO 2025-12-06 13:32:22,251 basehttp 213 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-12-06 13:32:22,314 basehttp 213 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-12-06 13:32:22,327 basehttp 213 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-12-06 13:32:48,770 basehttp 213 "POST /admin/user/user/add/ HTTP/1.1" 200 29194
INFO 2025-12-06 13:32:48,802 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:32:55,598 basehttp 213 "POST /admin/user/user/add/ HTTP/1.1" 302 0
INFO 2025-12-06 13:32:55,656 basehttp 213 "GET /admin/user/user/ HTTP/1.1" 200 38135
INFO 2025-12-06 13:32:55,685 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:34:29,745 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 13:34:30,210 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 13:34:30,399 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 13:34:30,556 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 13:34:30,708 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 13:34:30,863 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 13:34:31,020 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 13:34:34,925 basehttp 213 "GET /project/1/ HTTP/1.1" 200 483
INFO 2025-12-06 13:34:43,512 basehttp 213 "GET /admin/project/project/ HTTP/1.1" 200 32716
INFO 2025-12-06 13:34:43,535 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:34:44,365 basehttp 213 "GET /admin/project/environment/ HTTP/1.1" 200 33602
INFO 2025-12-06 13:34:44,393 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:34:45,060 basehttp 213 "GET /admin/project/file/ HTTP/1.1" 200 33134
INFO 2025-12-06 13:34:45,109 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:35:22,101 basehttp 213 "GET /admin/ HTTP/1.1" 200 21246
INFO 2025-12-06 13:35:22,284 basehttp 213 "GET /static/admin/simpleui-x/elementui/umd/locale/en.js?_=2025.06.24 HTTP/1.1" 304 0
INFO 2025-12-06 13:35:25,973 basehttp 213 "GET /admin/user/user/ HTTP/1.1" 200 37986
INFO 2025-12-06 13:35:26,011 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:35:37,195 basehttp 213 "GET /admin/user/role/ HTTP/1.1" 200 33115
INFO 2025-12-06 13:35:37,242 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:35:51,587 basehttp 213 "GET /admin/bug/bug/ HTTP/1.1" 200 27792
INFO 2025-12-06 13:35:51,633 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:35:53,060 basehttp 213 "GET /admin/plan/plan/ HTTP/1.1" 200 32447
INFO 2025-12-06 13:35:53,101 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:35:53,625 basehttp 213 "GET /admin/plan/record/ HTTP/1.1" 200 29033
INFO 2025-12-06 13:35:53,647 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:35:54,145 basehttp 213 "GET /admin/plan/report/ HTTP/1.1" 200 26598
INFO 2025-12-06 13:35:54,169 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:35:55,904 basehttp 213 "GET /admin/cronjob/cronjob/ HTTP/1.1" 200 33251
INFO 2025-12-06 13:35:55,950 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:35:56,759 basehttp 213 "GET /admin/scene/scene/ HTTP/1.1" 200 33121
INFO 2025-12-06 13:35:56,784 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:35:57,747 basehttp 213 "GET /admin/scene/step/ HTTP/1.1" 200 31617
INFO 2025-12-06 13:35:57,773 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:36:00,656 basehttp 213 "GET /admin/project/environment/ HTTP/1.1" 200 33602
INFO 2025-12-06 13:36:00,701 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 13:40:24,724 basehttp 213 "OPTIONS /logout/ HTTP/1.1" 200 0
INFO 2025-12-06 13:40:24,848 basehttp 213 "POST /logout/ HTTP/1.1" 200 34
WARNING 2025-12-06 13:40:32,313 log 253 Bad Request: /login/
WARNING 2025-12-06 13:40:32,314 basehttp 213 "POST /login/ HTTP/1.1" 400 60
WARNING 2025-12-06 13:40:34,637 log 253 Bad Request: /login/
WARNING 2025-12-06 13:40:34,639 basehttp 213 "POST /login/ HTTP/1.1" 400 57
WARNING 2025-12-06 13:56:11,840 log 253 Bad Request: /login/
WARNING 2025-12-06 13:56:11,842 basehttp 213 "POST /login/ HTTP/1.1" 400 60
INFO 2025-12-06 13:57:52,420 basehttp 213 "OPTIONS /verify/ HTTP/1.1" 200 0
WARNING 2025-12-06 13:57:52,422 log 253 Bad Request: /verify/
WARNING 2025-12-06 13:57:52,423 basehttp 213 "POST /verify/ HTTP/1.1" 400 38
WARNING 2025-12-06 14:27:52,447 log 253 Bad Request: /verify/
WARNING 2025-12-06 14:27:52,448 basehttp 213 "POST /verify/ HTTP/1.1" 400 38
INFO 2025-12-06 14:35:42,150 autoreload 265 D:\data\xianYu\test_django\api_django\backend\user\views.py changed, reloading.
INFO 2025-12-06 14:35:43,759 autoreload 667 Watching for file changes with StatReloader
WARNING 2025-12-06 14:36:29,712 log 253 Bad Request: /register/
WARNING 2025-12-06 14:36:29,712 basehttp 213 "POST /register/ HTTP/1.1" 400 43
WARNING 2025-12-06 14:36:35,827 log 253 Bad Request: /register/
WARNING 2025-12-06 14:36:35,829 basehttp 213 "POST /register/ HTTP/1.1" 400 43
INFO 2025-12-06 14:36:39,720 basehttp 213 "POST /register/ HTTP/1.1" 200 207
INFO 2025-12-06 14:36:45,454 basehttp 213 "POST /login/ HTTP/1.1" 200 750
INFO 2025-12-06 14:36:45,634 basehttp 213 "GET /project/?page=1&size=10 HTTP/1.1" 200 535
INFO 2025-12-06 14:42:52,701 basehttp 213 "GET /admin/ HTTP/1.1" 200 21246
INFO 2025-12-06 14:42:52,953 basehttp 213 "GET /static/admin/simpleui-x/elementui/umd/locale/en.js?_=2025.06.24 HTTP/1.1" 304 0
INFO 2025-12-06 14:42:53,144 basehttp 213 "GET /admin/project/file/ HTTP/1.1" 200 33134
INFO 2025-12-06 14:42:53,199 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 14:42:53,303 basehttp 213 "GET /favicon.ico HTTP/1.1" 302 0
INFO 2025-12-06 14:42:57,082 basehttp 213 "GET /admin/user/role/ HTTP/1.1" 200 33115
INFO 2025-12-06 14:42:57,116 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 14:42:58,965 basehttp 213 "GET /admin/ HTTP/1.1" 200 21246
INFO 2025-12-06 14:42:59,130 basehttp 213 "GET /admin/user/role/ HTTP/1.1" 200 33115
INFO 2025-12-06 14:42:59,168 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 14:42:59,217 basehttp 213 "GET /favicon.ico HTTP/1.1" 302 0
INFO 2025-12-06 14:43:02,207 basehttp 213 "GET /admin/user/role/add/ HTTP/1.1" 200 10263
INFO 2025-12-06 14:43:02,267 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 14:43:04,225 basehttp 213 "GET /admin/user/user/ HTTP/1.1" 200 39405
INFO 2025-12-06 14:43:04,256 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 14:57:52,430 basehttp 213 "POST /verify/ HTTP/1.1" 200 2
INFO 2025-12-06 14:58:45,053 basehttp 213 "GET /admin/cronjob/cronjob/ HTTP/1.1" 200 33251
INFO 2025-12-06 14:58:45,070 basehttp 213 "GET /static/admin/simpleui-x/elementui/umd/locale/en.js?_=2025.06.24 HTTP/1.1" 304 0
INFO 2025-12-06 14:58:45,113 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 14:58:46,288 basehttp 213 "GET /admin/cronjob/cronjob/add/ HTTP/1.1" 200 15896
INFO 2025-12-06 14:58:46,333 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 14:58:46,528 basehttp 213 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-12-06 14:58:46,531 basehttp 213 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-12-06 14:58:50,008 basehttp 213 "GET /admin/project/environment/add/?_to_field=id&_popup=1 HTTP/1.1" 200 17799
INFO 2025-12-06 14:58:50,054 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 14:58:55,128 basehttp 213 "POST /admin/project/environment/add/?_to_field=id&_popup=1 HTTP/1.1" 200 18576
INFO 2025-12-06 14:58:55,168 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 14:59:00,180 basehttp 213 "POST /admin/project/environment/add/?_to_field=id&_popup=1 HTTP/1.1" 200 317
INFO 2025-12-06 14:59:00,198 basehttp 213 "GET /static/admin/js/popup_response.js HTTP/1.1" 200 532
INFO 2025-12-06 14:59:02,820 basehttp 213 "GET /admin/plan/plan/add/?_to_field=id&_popup=1 HTTP/1.1" 200 12614
INFO 2025-12-06 14:59:02,856 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-12-06 14:59:07,083 basehttp 213 "POST /admin/plan/plan/add/?_to_field=id&_popup=1 HTTP/1.1" 200 12993
